Date,year,Site_location,LONGITUDE,LATITUDE,Region,Site_number,Clade,Species_name,Collection_no,Plant_no,LMA,Canopy_area,LWratio,FWC
8/8/2011,2011,Riversdale:_Little_Karoo_R327_Gouritz_River_cliffs,21.65154,-33.9055,Garcia_Pass,PL_1045,B,exstipulatum,70,8,0.007777778,2830.574981,1.363636364,2.75
8/19/2011,2011,Citrusdal:_Boschkloof_1,19.06098,-32.56574,Cedarberg,PL_1062,A2b,fasciculaceum,100,1,0.005668097,589.0486225,22.25,4.158753709
8/19/2011,2011,Citrusdal:_Boschkloof_1,19.06098,-32.56574,Cedarberg,PL_1062,A2b,fasciculaceum,100,2,0.005785704,824.6680716,28.75,4.18086225
8/19/2011,2011,Citrusdal:_Boschkloof_1,19.06098,-32.56574,Cedarberg,PL_1062,A2b,fasciculaceum,100,3,0.008301483,1767.145868,45,3.608928571
8/19/2011,2011,Citrusdal:_Boschkloof_1,19.06098,-32.56574,Cedarberg,PL_1062,A2b,fasciculaceum,100,4,0.004088704,2120.575041,33,4.95718232
8/19/2011,2011,Citrusdal:_Boschkloof_1,19.06098,-32.56574,Cedarberg,PL_1062,A2b,fasciculaceum,100,5,0.005520021,2552.544031,25.13333333,4.944523068
8/19/2011,2011,Citrusdal:_Boschkloof_1,19.06098,-32.56574,Cedarberg,PL_1062,A2b,fasciculaceum,100,6,0.005003056,392.6990817,41.16666667,4.690657439
8/19/2011,2011,Citrusdal:_Boschkloof_1,19.06098,-32.56574,Cedarberg,PL_1062,A2b,fasciculaceum,100,7,0.006784162,942.4777961,30.16666667,4.062407132
8/19/2011,2011,Citrusdal:_Boschkloof_1,19.06098,-32.56574,Cedarberg,PL_1062,A2b,fasciculaceum,100,8,0.005028407,1374.446786,44.75,4.401869159
8/3/2011,2011,Swartberg_NR:_Pass_S_2,22.05855,-33.35773333,Swartberg,PL_1029,A1,fruticosum,47,1,0.011111111,2199.114858,14,5.444444444
8/3/2011,2011,Swartberg_NR:_Pass_S_2,22.05855,-33.35773333,Swartberg,PL_1029,A1,fruticosum,47,2,0.011940299,3396.061659,18,2.75
8/3/2011,2011,Swartberg_NR:_Pass_S_2,22.05855,-33.35773333,Swartberg,PL_1029,A1,fruticosum,47,3,0.004556962,357.3561643,7.666666667,5.545454545
8/3/2011,2011,Swartberg_NR:_Pass_S_2,22.05855,-33.35773333,Swartberg,PL_1029,A1,fruticosum,47,4,0.011173184,1047.72115,4,3.666666667
8/3/2011,2011,Swartberg_NR:_Pass_S_2,22.05855,-33.35773333,Swartberg,PL_1029,A1,fruticosum,47,5,0.006756757,181.4269757,7.5,4.833333333
8/3/2011,2011,Swartberg_NR:_Pass_S_2,22.05855,-33.35773333,Swartberg,PL_1029,A1,fruticosum,47,6,0.004255319,141.3716694,5.666666667,6.333333333
8/3/2011,2011,Swartberg_NR:_Pass_S_2,22.05855,-33.35773333,Swartberg,PL_1029,A1,fruticosum,47,7,0.008333333,.,10,6
8/3/2011,2011,Swartberg_NR:_Pass_S_2,22.05855,-33.35773333,Swartberg,PL_1029,A1,fruticosum,47,8,0.005540166,.,5.333333333,5.727272727
.,2012,Elandsbaai: Vleikraal Contract NR,18.38372,-32.32801,Cape_Nature,302,.,fulgidum,1,1,0.003203143,2289.435646,1.427350427,6.052631579
.,2012,Elandsbaai: Vleikraal Contract NR,18.38372,-32.32801,Cape_Nature,302,.,fulgidum,2,2,0.003731797,1960.353816,1.65497076,6.1
.,2012,Elandsbaai: Vleikraal Contract NR,18.38372,-32.32801,Cape_Nature,302,.,fulgidum,3,3,0.004382018,333.7942194,2.078703704,6.903225806
.,2012,Elandsbaai: Vleikraal Contract NR,18.38372,-32.32801,Cape_Nature,302,.,fulgidum,4,4,0.00364474,77.75441818,2.204301075,5.916666667
.,2012,Elandsbaai: Vleikraal Contract NR,18.38372,-32.32801,Cape_Nature,302,.,fulgidum,5,5,0.002944344,213.6283004,1.279151943,6.333333333
.,2012,Elandsbaai: Vleikraal Contract NR,18.38372,-32.32801,Cape_Nature,302,.,fulgidum,6,6,0.003394473,1569.22553,1.773381295,5.756756757
.,2012,Elandsbaai: Vleikraal Contract NR,18.38372,-32.32801,Cape_Nature,302,.,fulgidum,7,7,0.005269688,3958.406744,1.828767123,5.376811594
.,2012,Elandsbaai: Vleikraal Contract NR,18.38372,-32.32801,Cape_Nature,302,.,fulgidum,8,8,0.003590334,2990.796206,1.8,6.673469388
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,glutinosum,37,1,0.013763066,4043.229745,6.555555556,2.247058824
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,glutinosum,37,2,0.008819057,6938.992774,5,3.038461538
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,glutinosum,37,3,0.012380588,13524.55637,6.307692308,3.014705882
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,glutinosum,37,4,0.008787011,2045.176817,4.2,2.770408163
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,glutinosum,37,5,0.012513484,4476.769531,7.090909091,3.125
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,glutinosum,37,6,0.01240588,325.1548396,7.2,2.77173913
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,glutinosum,37,7,0.013001083,10009.11419,9,2.393939394
8/3/2011,2011,Prince_Albert:_Dorp's_Bridge,22.05301,-33.28296,Swartberg,PL_1025,A1,glutinosum,37,8,0.019371728,6082.123377,17.33333333,2.024691358
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,A2b,gracillimum,43,1,0.003287671,.,6.166666667,.
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,A2b,gracillimum,43,2,0.002150538,.,4.142857143,5.3125
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,A2b,gracillimum,43,3,0.001769912,.,2.615384615,6.611111111
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,A2b,gracillimum,43,4,0.004946237,.,8.6,4.574074074
.,2012,14.5m SE Komaggas,17.6073,-29.87653,Northern_Cape,272,.,grandicalcaratum,1,1,0.010263428,2905.973205,1.477776346,3.833333333
.,2012,14.5m SE Komaggas,17.6073,-29.87653,Northern_Cape,272,.,grandicalcaratum,2,2,0.011080332,857.6547944,1.448690654,3.75
.,2012,14.5m SE Komaggas,17.6073,-29.87653,Northern_Cape,272,.,grandicalcaratum,3,3,0.009939781,4398.229715,1.538933021,3.333333333
.,2012,14.5m SE Komaggas,17.6073,-29.87653,Northern_Cape,272,.,grandicalcaratum,5,5,0.014007957,7343.472828,2.258716073,4.2
.,2012,14.5m SE Komaggas,17.6073,-29.87653,Northern_Cape,272,.,grandicalcaratum,6,6,0.004104353,933.0530181,1.768646092,7
.,2012,14.5m SE Komaggas,17.6073,-29.87653,Northern_Cape,272,.,grandicalcaratum,7,7,0.006055294,9935.286767,1.753423356,3.736842105
.,2012,14.5m SE Komaggas,17.6073,-29.87653,Northern_Cape,272,.,grandicalcaratum,8,8,0.007787495,14804.75538,1.550920614,4.6
.,2012,Springbok: Naries 2,17.68008,-29.67988,Northern_Cape,129,.,grandicalcaratum,1541,1541,0.015308642,10723.04112,6,2.711538462
.,2012,Springbok: Naries 2,17.68008,-29.67988,Northern_Cape,129,.,grandicalcaratum,1542,1542,0.012037037,5149.855757,6,3.038461538
.,2012,Springbok: Naries 2,17.68008,-29.67988,Northern_Cape,129,.,grandicalcaratum,1543,1543,0.01350211,6160.663194,6,3.21875
.,2012,Springbok: Naries 2,17.68008,-29.67988,Northern_Cape,129,.,grandicalcaratum,1545,1545,0.010273973,8083.317898,4,4.466666667
